MES_ANO;INDICE_NIVEL
jan/22;298,959
fev/22;303,384
mar/22;307,752
abr/22;310,793
mai/22;313,127
jun/22;315,673
jul/22;315,54
ago/22;315,171
set/22;314,329
out/22;314,625
nov/22;314,773
dez/22;315,701
jan/23;316,996
fev/23;318,384
mar/23;319,489
abr/23;320,029
mai/23;319,805
jun/23;318,519
jul/23;317,815
ago/23;318,178
set/23;318,935
out/23;319,589
nov/23;320,544
dez/23;322,474
jan/24;323,509
fev/24;324,628
mar/24;325,313
abr/24;326,312
mai/24;327,702
jun/24;328,931
jul/24;330,546
ago/24;330,979
set/24;332,892
out/24;335,196
nov/24;336,108
dez/24;337,422
jan/25;338,039
fev/25;341,494
mar/25;342,897
abr/25;344,286
mai/25;344,909
jun/25;345,192
jul/25;346,601
ago/25;346,75
set/25;348,476
out/25;348,037
nov/25;348,82
dez/25;349,27
jan/26;350,612
fev/26;352,007
mar/26;353,721
;
;
;
;
;
;
;
;
;
